,list_b
0,item
1,design
2,manufacture
3,variety
4,year
5,period
6,end
7,line
8,operating
9,system
10,october
11,november
12,technology
13,september
14,model
15,april
16,home
17,december
18,generation
19,series
20,form
21,advertising
22,include
23,licensing
24,arrangement
25,offer
26,portfolio
27,support
28,brand
29,offering
30,provide
31,priority
32,access
33,network
34,repair
35,case
36,coverage
37,damage
38,loss
39,country
40,type
41,cloud
42,store
43,content
44,multiple
45,device
46,operates
47,platform
48,application
49,digital
50,video
51,user
52,experience
53,station
54,payment
55,credit
56,consumer
57,education
58,enterprise
59,government
60,online
61,sale
62,force
63,distribution
64,channel
65,carrier
66,retailer
67,net
68,price
69,competition
70,margin
71,life
72,industry
73,standard
74,improvement
75,performance
76,competitor
77,part
78,seek
79,compete
80,pricing
81,cost
82,structure
83,ability
84,solution
85,software
86,principal
87,factor
88,feature
89,security
90,quality
91,innovation
92,marketing
93,capability
94,opportunity
95,resource
96,base
97,addition
98,profit
99,use
100,component
101,source
102,time
103,subject
104,commodity
105,us
106,capacity
107,supplier
108,manufacturing
109,availability
110,production
111,meet
112,agreement
113,supply
114,term
115,partner
116,asia
117,advance
118,flow
119,enhance
120,expand
121,range
122,research
123,development
124,property
125,acquisition
126,collection
127,right
128,aspect
129,patent
130,trademark
131,trade
132,ownership
133,success
134,skill
135,file
136,protect
137,world
138,utility
139,others
140,adequate
141,party
142,future
143,license
144,process
145,past
146,quarter
147,demand
148,impact
149,expense
150,inventory
151,approach
152,distributor
153,team
154,member
155,building
156,culture
157,practice
158,workplace
159,status
160,inclusion
161,compensation
162,share
163,shareholder
164,people
165,need
166,benefit
167,tool
168,growth
169,class
170,organization
171,training
172,pay
173,focus
174,diverse
175,level
176,initiative
177,place
178,implement
179,commitment
180,increase
181,candidate
182,diversity
183,effort
184,serve
185,engage
186,talent
187,community
188,career
189,help
190,connection
191,group
192,create
193,space
194,equity
195,communication
196,manager
197,leadership
198,work
199,environment
200,conduct
201,survey
202,area
203,risk
204,activity
205,order
206,measure
207,safety
208,program
209,chemical
210,management
211,equipment
212,material
213,pandemic
214,information
215,face
216,comprehensive
217,health
218,report
219,amendment
220,pursuant
221,section
222,exchange
223,act
224,commission
225,sec
226,charge
227,website
228,investor
229,relation
230,release
231,governance
232,meeting
233,reference
234,filing
235,note
236,statement
237,estimate
238,plan
239,objective
240,result
241,discussion
242,analysis
243,condition
244,operation
245,ii
246,project
247,intend
248,strategy
249,continue
250,cause
251,event
252,disclosure
253,date
254,obligation
255,person
256,achieve
257,drive
258,efficiency
259,human
260,value
261,circumstance
262,change
263,way
264,public
265,investment
266,thing
267,become
268,phase
269,data
270,knowledge
271,internet
272,relationship
273,deliver
274,relevant
275,sell
276,build
277,family
278,key
279,role
280,office
281,fuel
282,compliance
283,protection
284,professional
285,power
286,matter
287,expertise
288,size
289,function
290,reach
291,engagement
292,core
293,infrastructure
294,scale
295,unit
296,aggregate
297,storage
298,location
299,maintenance
300,labor
301,integration
302,manage
303,consistent
304,requirement
305,provider
306,healthcare
307,enables
308,presence
309,advantage
310,chain
311,client
312,serf
313,june
314,strength
315,money
316,category
317,invest
318,mobile
319,position
320,march
321,medium
322,llc
323,held
324,goal
325,lead
326,individual
327,method
328,grow
329,refer
330,extent
331,responsibility
332,sustainability
333,policy
334,january
335,water
336,waste
337,emission
338,review
339,executive
340,energy
341,address
342,challenge
343,action
344,leader
345,board
346,director
347,developed
348,set
349,number
350,banking
351,partnership
352,institution
353,center
354,percentage
355,transaction
356,volume
357,deposit
358,depository
359,fund
360,capital
361,retain
362,basis
363,administration
364,failure
365,workforce
366,cover
367,response
368,limit
369,day
370,woman
371,described
372,proxy
373,population
374,segment
375,attract
376,top
377,evaluate
378,example
379,leverage
380,monitor
381,promote
382,stock
383,canada
384,china
385,wellness
386,travel
387,staff
388,paid
389,treatment
390,care
391,package
392,saving
393,worldwide
394,privacy
395,respect
396,site
397,return
398,permit
399,portion
400,operate
401,framework
402,consists
403,premium
404,revenue
405,combination
406,expansion
407,planning
408,division
409,vendor
410,alternative
411,firm
412,generate
413,code
414,purchase
415,manufacturer
416,point
417,allows
418,assurance
419,unique
420,franchise
421,region
422,contract
423,processing
424,north
425,america
426,europe
427,require
428,majority
429,engineering
430,maintain
431,control
432,affect
433,guideline
434,enforcement
435,trend
436,assessment
437,facility
438,remain
439,university
440,perform
441,agency
442,advisor
443,field
444,personnel
445,option
446,affiliate
447,department
448,provision
449,officer
450,july
451,name
452,age
453,chief
454,vice
455,president
456,venture
457,corporation
458,operator
459,air
460,finance
461,law
462,earnings
463,committee
464,trust
465,recovery
466,transportation
467,disease
468,reporting
469,purpose
470,month
471,monitoring
472,test
473,primary
474,manner
475,city
476,document
477,appropriate
478,regulation
479,adverse
480,effect
481,procedure
482,registration
483,asset
484,interest
485,subsidiary
486,produce
487,delivery
488,record
489,fee
490,sector
491,contractor
492,table
493,forth
494,accounting
495,associate
496,lease
497,vehicle
498,insurance
499,incentive
500,cell
501,estate
502,amount
503,present
504,balance
505,target
506,construction
507,jurisdiction
508,owner
509,entity
510,dealer
511,retention
512,minimum
513,financing
514,loan
515,august
516,california
517,rate
518,texas
519,reduction
520,york
521,degree
522,bank
523,raw
524,steel
525,governmental
526,authority
527,tax
528,comply
529,excess
530,land
531,expenditure
532,income
533,receive
534,gas
535,wholesale
536,transfer
537,cash
538,claim
539,rating
540,epa
541,union
542,rule
543,restriction
544,association
545,disposal
546,regulator
547,fleet
548,nature
549,accordance
550,protocol
551,fair
552,reinsurance
553,decision
554,issue
555,insurer
556,liability
557,underwriting
558,dividend
559,approval
560,liquidity
561,notice
562,branch
563,south
564,eu
565,adjustment
566,agent
567,specialty
568,patient
569,physician
570,hospital
571,medicare
572,exposure
573,hold
574,coal
575,extension
576,merger
577,statute
578,substance
579,holding
580,pipeline
581,truck
582,transmission
583,plant
584,oil
585,trading
586,ass
587,penalty
588,violation
589,debt
590,legislation
591,mortgage
592,metal
593,request
594,laboratory
595,food
596,restaurant
597,account
598,determine
599,packaging
600,drug
601,joint
602,limitation
603,audit
604,implementation
605,reimbursement
606,stockholder
607,guidance
608,sponsor
609,ratio
610,reserve
611,iii
612,iv
613,index
614,cancer
615,therapy
616,fda
617,study
618,paper
619,percent
620,inspection
621,advisory
622,hotel
623,trial
624,tier
625,lending
626,fdic
627,collateral
628,tenant
629,borrower
